clone,species,meso_spec,graze_trt_a,graze_trt_b,graze_trt_c,graze_trt_d,graze_trt_e,graze_trt_f,graze_trt_g,graze_trt_h,graze_rep,grazing_rate
4,1,0,1,0,0,0,0,0,0,0,1,
4,1,0,0,1,0,0,0,0,0,0,1,
4,1,0,0,0,1,0,0,0,0,0,1,
4,1,0,0,0,0,1,0,0,0,0,1,
4,1,0,0,0,0,0,1,0,0,0,1,
4,1,0,0,0,0,0,0,1,0,0,1,
4,1,0,0,0,0,0,0,0,1,0,1,
4,1,0,0,0,0,0,0,0,0,1,1,
5,0,0,1,0,0,0,0,0,0,0,1,
5,0,0,0,1,0,0,0,0,0,0,1,
5,0,0,0,0,1,0,0,0,0,0,1,
5,0,0,0,0,0,1,0,0,0,0,1,
5,0,0,0,0,0,0,1,0,0,0,1,
5,0,0,0,0,0,0,0,1,0,0,1,
5,0,0,0,0,0,0,0,0,1,0,1,
5,0,0,0,0,0,0,0,0,0,1,1,
6,0,0,1,0,0,0,0,0,0,0,1,
6,0,0,0,1,0,0,0,0,0,0,1,
6,0,0,0,0,1,0,0,0,0,0,1,
6,0,0,0,0,0,1,0,0,0,0,1,
6,0,0,0,0,0,0,1,0,0,0,1,
6,0,0,0,0,0,0,0,1,0,0,1,
6,0,0,0,0,0,0,0,0,1,0,1,
6,0,0,0,0,0,0,0,0,0,1,1,
7,0,0,1,0,0,0,0,0,0,0,1,
7,0,0,0,1,0,0,0,0,0,0,1,
7,0,0,0,0,1,0,0,0,0,0,1,
7,0,0,0,0,0,1,0,0,0,0,1,
7,0,0,0,0,0,0,1,0,0,0,1,
7,0,0,0,0,0,0,0,1,0,0,1,
7,0,0,0,0,0,0,0,0,1,0,1,
7,0,0,0,0,0,0,0,0,0,1,1,
8,1,1,1,0,0,0,0,0,0,0,1,
8,1,1,0,1,0,0,0,0,0,0,1,
8,1,1,0,0,1,0,0,0,0,0,1,
8,1,1,0,0,0,1,0,0,0,0,1,
8,1,1,0,0,0,0,1,0,0,0,1,
8,1,1,0,0,0,0,0,1,0,0,1,
8,1,1,0,0,0,0,0,0,1,0,1,
8,1,1,0,0,0,0,0,0,0,1,1,
9,1,1,1,0,0,0,0,0,0,0,1,
9,1,1,0,1,0,0,0,0,0,0,1,
9,1,1,0,0,1,0,0,0,0,0,1,
9,1,1,0,0,0,1,0,0,0,0,1,
9,1,1,0,0,0,0,1,0,0,0,1,
9,1,1,0,0,0,0,0,1,0,0,1,
9,1,1,0,0,0,0,0,0,1,0,1,
9,1,1,0,0,0,0,0,0,0,1,1,
10,1,1,1,0,0,0,0,0,0,0,1,
10,1,1,0,1,0,0,0,0,0,0,1,
10,1,1,0,0,1,0,0,0,0,0,1,
10,1,1,0,0,0,1,0,0,0,0,1,
10,1,1,0,0,0,0,1,0,0,0,1,
10,1,1,0,0,0,0,0,1,0,0,1,
10,1,1,0,0,0,0,0,0,1,0,1,
10,1,1,0,0,0,0,0,0,0,1,1,
11,1,1,1,0,0,0,0,0,0,0,1,
11,1,1,0,1,0,0,0,0,0,0,1,
11,1,1,0,0,1,0,0,0,0,0,1,
11,1,1,0,0,0,1,0,0,0,0,1,
11,1,1,0,0,0,0,1,0,0,0,1,
11,1,1,0,0,0,0,0,1,0,0,1,
11,1,1,0,0,0,0,0,0,1,0,1,
11,1,1,0,0,0,0,0,0,0,1,1,
12,1,0,1,0,0,0,0,0,0,0,1,
12,1,0,0,1,0,0,0,0,0,0,1,
12,1,0,0,0,1,0,0,0,0,0,1,
12,1,0,0,0,0,1,0,0,0,0,1,
12,1,0,0,0,0,0,1,0,0,0,1,
12,1,0,0,0,0,0,0,1,0,0,1,
12,1,0,0,0,0,0,0,0,1,0,1,
12,1,0,0,0,0,0,0,0,0,1,1,
13,1,0,1,0,0,0,0,0,0,0,1,
13,1,0,0,1,0,0,0,0,0,0,1,
13,1,0,0,0,1,0,0,0,0,0,1,
13,1,0,0,0,0,1,0,0,0,0,1,
13,1,0,0,0,0,0,1,0,0,0,1,
13,1,0,0,0,0,0,0,1,0,0,1,
13,1,0,0,0,0,0,0,0,1,0,1,
13,1,0,0,0,0,0,0,0,0,1,1,
14,1,0,1,0,0,0,0,0,0,0,1,
14,1,0,0,1,0,0,0,0,0,0,1,
14,1,0,0,0,1,0,0,0,0,0,1,
14,1,0,0,0,0,1,0,0,0,0,1,
14,1,0,0,0,0,0,1,0,0,0,1,
14,1,0,0,0,0,0,0,1,0,0,1,
14,1,0,0,0,0,0,0,0,1,0,1,
14,1,0,0,0,0,0,0,0,0,1,1,
15,1,0,1,0,0,0,0,0,0,0,1,
15,1,0,0,1,0,0,0,0,0,0,1,
15,1,0,0,0,1,0,0,0,0,0,1,
15,1,0,0,0,0,1,0,0,0,0,1,
15,1,0,0,0,0,0,1,0,0,0,1,
15,1,0,0,0,0,0,0,1,0,0,1,
15,1,0,0,0,0,0,0,0,1,0,1,
15,1,0,0,0,0,0,0,0,0,1,1,
16,1,0,1,0,0,0,0,0,0,0,1,
16,1,0,0,1,0,0,0,0,0,0,1,
16,1,0,0,0,1,0,0,0,0,0,1,
16,1,0,0,0,0,1,0,0,0,0,1,
16,1,0,0,0,0,0,1,0,0,0,1,
16,1,0,0,0,0,0,0,1,0,0,1,
16,1,0,0,0,0,0,0,0,1,0,1,
16,1,0,0,0,0,0,0,0,0,1,1,
17,1,0,1,0,0,0,0,0,0,0,1,
17,1,0,0,1,0,0,0,0,0,0,1,
17,1,0,0,0,1,0,0,0,0,0,1,
17,1,0,0,0,0,1,0,0,0,0,1,
17,1,0,0,0,0,0,1,0,0,0,1,
17,1,0,0,0,0,0,0,1,0,0,1,
17,1,0,0,0,0,0,0,0,1,0,1,
17,1,0,0,0,0,0,0,0,0,1,1,
18,1,0,1,0,0,0,0,0,0,0,1,
18,1,0,0,1,0,0,0,0,0,0,1,
18,1,0,0,0,1,0,0,0,0,0,1,
18,1,0,0,0,0,1,0,0,0,0,1,
18,1,0,0,0,0,0,1,0,0,0,1,
18,1,0,0,0,0,0,0,1,0,0,1,
18,1,0,0,0,0,0,0,0,1,0,1,
18,1,0,0,0,0,0,0,0,0,1,1,
19,1,0,1,0,0,0,0,0,0,0,1,
19,1,0,0,1,0,0,0,0,0,0,1,
19,1,0,0,0,1,0,0,0,0,0,1,
19,1,0,0,0,0,1,0,0,0,0,1,
19,1,0,0,0,0,0,1,0,0,0,1,
19,1,0,0,0,0,0,0,1,0,0,1,
19,1,0,0,0,0,0,0,0,1,0,1,
19,1,0,0,0,0,0,0,0,0,1,1,
20,0,1,1,0,0,0,0,0,0,0,1,
20,0,1,0,1,0,0,0,0,0,0,1,
20,0,1,0,0,1,0,0,0,0,0,1,
20,0,1,0,0,0,1,0,0,0,0,1,
20,0,1,0,0,0,0,1,0,0,0,1,
20,0,1,0,0,0,0,0,1,0,0,1,
20,0,1,0,0,0,0,0,0,1,0,1,
20,0,1,0,0,0,0,0,0,0,1,1,
21,1,1,1,0,0,0,0,0,0,0,1,
21,1,1,0,1,0,0,0,0,0,0,1,
21,1,1,0,0,1,0,0,0,0,0,1,
21,1,1,0,0,0,1,0,0,0,0,1,
21,1,1,0,0,0,0,1,0,0,0,1,
21,1,1,0,0,0,0,0,1,0,0,1,
21,1,1,0,0,0,0,0,0,1,0,1,
21,1,1,0,0,0,0,0,0,0,1,1,
22,1,1,1,0,0,0,0,0,0,0,1,
22,1,1,0,1,0,0,0,0,0,0,1,
22,1,1,0,0,1,0,0,0,0,0,1,
22,1,1,0,0,0,1,0,0,0,0,1,
22,1,1,0,0,0,0,1,0,0,0,1,
22,1,1,0,0,0,0,0,1,0,0,1,
22,1,1,0,0,0,0,0,0,1,0,1,
22,1,1,0,0,0,0,0,0,0,1,1,
23,1,1,1,0,0,0,0,0,0,0,1,
23,1,1,0,1,0,0,0,0,0,0,1,
23,1,1,0,0,1,0,0,0,0,0,1,
23,1,1,0,0,0,1,0,0,0,0,1,
23,1,1,0,0,0,0,1,0,0,0,1,
23,1,1,0,0,0,0,0,1,0,0,1,
23,1,1,0,0,0,0,0,0,1,0,1,
23,1,1,0,0,0,0,0,0,0,1,1,
24,1,1,1,0,0,0,0,0,0,0,1,
24,1,1,0,1,0,0,0,0,0,0,1,
24,1,1,0,0,1,0,0,0,0,0,1,
24,1,1,0,0,0,1,0,0,0,0,1,
24,1,1,0,0,0,0,1,0,0,0,1,
24,1,1,0,0,0,0,0,1,0,0,1,
24,1,1,0,0,0,0,0,0,1,0,1,
24,1,1,0,0,0,0,0,0,0,1,1,
25,1,1,1,0,0,0,0,0,0,0,1,
25,1,1,0,1,0,0,0,0,0,0,1,
25,1,1,0,0,1,0,0,0,0,0,1,
25,1,1,0,0,0,1,0,0,0,0,1,
25,1,1,0,0,0,0,1,0,0,0,1,
25,1,1,0,0,0,0,0,1,0,0,1,
25,1,1,0,0,0,0,0,0,1,0,1,
25,1,1,0,0,0,0,0,0,0,1,1,
26,1,1,1,0,0,0,0,0,0,0,1,
26,1,1,0,1,0,0,0,0,0,0,1,
26,1,1,0,0,1,0,0,0,0,0,1,
26,1,1,0,0,0,1,0,0,0,0,1,
26,1,1,0,0,0,0,1,0,0,0,1,
26,1,1,0,0,0,0,0,1,0,0,1,
26,1,1,0,0,0,0,0,0,1,0,1,
26,1,1,0,0,0,0,0,0,0,1,1,
27,1,1,1,0,0,0,0,0,0,0,1,
27,1,1,0,1,0,0,0,0,0,0,1,
27,1,1,0,0,1,0,0,0,0,0,1,
27,1,1,0,0,0,1,0,0,0,0,1,
27,1,1,0,0,0,0,1,0,0,0,1,
27,1,1,0,0,0,0,0,1,0,0,1,
27,1,1,0,0,0,0,0,0,1,0,1,
27,1,1,0,0,0,0,0,0,0,1,1,
28,1,1,1,0,0,0,0,0,0,0,1,
28,1,1,0,1,0,0,0,0,0,0,1,
28,1,1,0,0,1,0,0,0,0,0,1,
28,1,1,0,0,0,1,0,0,0,0,1,
28,1,1,0,0,0,0,1,0,0,0,1,
28,1,1,0,0,0,0,0,1,0,0,1,
28,1,1,0,0,0,0,0,0,1,0,1,
28,1,1,0,0,0,0,0,0,0,1,1,
29,1,1,1,0,0,0,0,0,0,0,1,
29,1,1,0,1,0,0,0,0,0,0,1,
29,1,1,0,0,1,0,0,0,0,0,1,
29,1,1,0,0,0,1,0,0,0,0,1,
29,1,1,0,0,0,0,1,0,0,0,1,
29,1,1,0,0,0,0,0,1,0,0,1,
29,1,1,0,0,0,0,0,0,1,0,1,
29,1,1,0,0,0,0,0,0,0,1,1,
30,1,0,1,0,0,0,0,0,0,0,1,
30,1,0,0,1,0,0,0,0,0,0,1,
30,1,0,0,0,1,0,0,0,0,0,1,
30,1,0,0,0,0,1,0,0,0,0,1,
30,1,0,0,0,0,0,1,0,0,0,1,
30,1,0,0,0,0,0,0,1,0,0,1,
30,1,0,0,0,0,0,0,0,1,0,1,
30,1,0,0,0,0,0,0,0,0,1,1,
31,1,0,1,0,0,0,0,0,0,0,1,
31,1,0,0,1,0,0,0,0,0,0,1,
31,1,0,0,0,1,0,0,0,0,0,1,
31,1,0,0,0,0,1,0,0,0,0,1,
31,1,0,0,0,0,0,1,0,0,0,1,
31,1,0,0,0,0,0,0,1,0,0,1,
31,1,0,0,0,0,0,0,0,1,0,1,
31,1,0,0,0,0,0,0,0,0,1,1,
32,1,0,1,0,0,0,0,0,0,0,1,
32,1,0,0,1,0,0,0,0,0,0,1,
32,1,0,0,0,1,0,0,0,0,0,1,
32,1,0,0,0,0,1,0,0,0,0,1,
32,1,0,0,0,0,0,1,0,0,0,1,
32,1,0,0,0,0,0,0,1,0,0,1,
32,1,0,0,0,0,0,0,0,1,0,1,
32,1,0,0,0,0,0,0,0,0,1,1,
33,1,0,1,0,0,0,0,0,0,0,1,
33,1,0,0,1,0,0,0,0,0,0,1,
33,1,0,0,0,1,0,0,0,0,0,1,
33,1,0,0,0,0,1,0,0,0,0,1,
33,1,0,0,0,0,0,1,0,0,0,1,
33,1,0,0,0,0,0,0,1,0,0,1,
33,1,0,0,0,0,0,0,0,1,0,1,
33,1,0,0,0,0,0,0,0,0,1,1,
34,1,0,1,0,0,0,0,0,0,0,1,
34,1,0,0,1,0,0,0,0,0,0,1,
34,1,0,0,0,1,0,0,0,0,0,1,
34,1,0,0,0,0,1,0,0,0,0,1,
34,1,0,0,0,0,0,1,0,0,0,1,
34,1,0,0,0,0,0,0,1,0,0,1,
34,1,0,0,0,0,0,0,0,1,0,1,
34,1,0,0,0,0,0,0,0,0,1,1,
35,1,0,1,0,0,0,0,0,0,0,1,
35,1,0,0,1,0,0,0,0,0,0,1,
35,1,0,0,0,1,0,0,0,0,0,1,
35,1,0,0,0,0,1,0,0,0,0,1,
35,1,0,0,0,0,0,1,0,0,0,1,
35,1,0,0,0,0,0,0,1,0,0,1,
35,1,0,0,0,0,0,0,0,1,0,1,
35,1,0,0,0,0,0,0,0,0,1,1,
36,1,0,1,0,0,0,0,0,0,0,1,
36,1,0,0,1,0,0,0,0,0,0,1,
36,1,0,0,0,1,0,0,0,0,0,1,
36,1,0,0,0,0,1,0,0,0,0,1,
36,1,0,0,0,0,0,1,0,0,0,1,
36,1,0,0,0,0,0,0,1,0,0,1,
36,1,0,0,0,0,0,0,0,1,0,1,
36,1,0,0,0,0,0,0,0,0,1,1,
37,0,1,1,0,0,0,0,0,0,0,1,
37,0,1,0,1,0,0,0,0,0,0,1,
37,0,1,0,0,1,0,0,0,0,0,1,
37,0,1,0,0,0,1,0,0,0,0,1,
37,0,1,0,0,0,0,1,0,0,0,1,
37,0,1,0,0,0,0,0,1,0,0,1,
37,0,1,0,0,0,0,0,0,1,0,1,
37,0,1,0,0,0,0,0,0,0,1,1,
1,0,0,1,0,0,0,0,0,0,0,1,
1,0,0,0,1,0,0,0,0,0,0,1,
1,0,0,0,0,1,0,0,0,0,0,1,
1,0,0,0,0,0,1,0,0,0,0,1,
1,0,0,0,0,0,0,1,0,0,0,1,
1,0,0,0,0,0,0,0,1,0,0,1,
1,0,0,0,0,0,0,0,0,1,0,1,
1,0,0,0,0,0,0,0,0,0,1,1,
2,0,0,1,0,0,0,0,0,0,0,1,
2,0,0,0,1,0,0,0,0,0,0,1,
2,0,0,0,0,1,0,0,0,0,0,1,
2,0,0,0,0,0,1,0,0,0,0,1,
2,0,0,0,0,0,0,1,0,0,0,1,
2,0,0,0,0,0,0,0,1,0,0,1,
2,0,0,0,0,0,0,0,0,1,0,1,
2,0,0,0,0,0,0,0,0,0,1,1,
3,0,1,1,0,0,0,0,0,0,0,1,
3,0,1,0,1,0,0,0,0,0,0,1,
3,0,1,0,0,1,0,0,0,0,0,1,
3,0,1,0,0,0,1,0,0,0,0,1,
3,0,1,0,0,0,0,1,0,0,0,1,
3,0,1,0,0,0,0,0,1,0,0,1,
3,0,1,0,0,0,0,0,0,1,0,1,
3,0,1,0,0,0,0,0,0,0,1,1,